title,description,Thriller,Classics,Romance,Mystery,Science,Literature,Fantasy,Historical,Fiction
It's Not About the Bike: My Journey Back to Life,"It is such an all-American story. A lanky kid from Plano, Texas, is raised by a feisty, single parent who sacrifices for her son, who becomes one of our country's greatest athletes. Given that background, it is understandable why Armstrong was able to channel his boundless energy toward athletic endeavors. By his senior year in high school, he was already a professional triathlete and was training with the U.S. Olympic cycling developmental team. In 1993, Armstrong secured a position in the ranks of world-class cyclists by winning the World Championship and a Tour de France stage, but in 1996, he was diagnosed with testicular cancer. Armstrong entered an unknown battlefield and challenged it as if climbing through the Alps: aggressive yet tactical. He beat the cancer and proceeded to stun all the pundits by winning the 1999 Tour de France. In this memoir, Armstrong covers his early years swiftly with a blunt matter-of-factness, but the main focus is on his battle with cancer. Readers will respond to the inspirational recovery story, and they will appreciate the behind-the-scenes cycling information. After he won the Tour, his mother was quoted as saying that her son's whole life has been a fight against the odds; we see here that she was not exaggerating. Brenda Barrera",0,0,0,0,0,0,0,0,0
Trilogía Involuntaria #3The House of the Spirits,"In one of the most important and beloved Latin American works of the twentieth century, Isabel Allende weaves a luminous tapestry of three generations of the Trueba family, revealing both triumphs and tragedies. Here is patriarch Esteban, whose wild desires and political machinations are tempered only by his love for his ethereal wife, Clara, a woman touched by an otherworldly hand. Their daughter, Blanca, whose forbidden love for a man Esteban has deemed unworthy infuriates her father, yet will produce his greatest joy: his granddaughter Alba, a beautiful, ambitious girl who will lead the family and their country into a revolutionary future.The House of the Spirits is an enthralling saga that spans decades and lives, twining the personal and the political into an epic novel of love, magic, and fate.",0,0,0,0,0,1,1,1,1
The Girl Who Drank the Moon,"Every year, the people of the Protectorate leave a baby as an offering to the witch who lives in the forest. They hope this sacrifice will keep her from terrorizing their town. But the witch in the forest, Xan, is kind and gentle. She shares her home with a wise Swamp Monster named Glerk and a Perfectly Tiny Dragon, Fyrian. Xan rescues the abandoned children and deliver them to welcoming families on the other side of the forest, nourishing the babies with starlight on the journey.  One year, Xan accidentally feeds a baby moonlight instead of starlight, filling the ordinary child with extraordinary magic. Xan decides she must raise this enmagicked girl, whom she calls Luna, as her own. To keep young Luna safe from her own unwieldy power, Xan locks her magic deep inside her. When Luna approaches her thirteenth birthday, her magic begins to emerge on schedule--but Xan is far away. Meanwhile, a young man from the Protectorate is determined to free his people by killing the witch. Soon, it is up to Luna to protect those who have protected her--even if it means the end of the loving, safe world she’s always known.",0,0,0,0,0,0,0,0,1
Give Me Tomorrow: The Korean War's Greatest Untold Story,"An epic story of valor and sacrifice by a legendary Marine company in the Korean War brought to gripping, cinematic light by an acclaimed historian (""Gives the brave Marines of George Company long overdue recognition""--New York Post) ""What would you want if you could have any wish?"" asked the photojournalist of the haggard, bloodied Marine before him. The Marine gaped at his interviewer. The photographer snapped his picture, which became the iconic Korean War image featured on this book's jacket. ""Give me tomorrow,"" he said at last.After nearly four months of continuous and agonizing combat on the battlefields of Korea, such a simple request seemed impossible. For many men of George Company, or ""Bloody George"" as they were known-one of the Forgotten War's most decorated yet unrecognized companies-it was a wish that would not come true.This is the untold story of ""Bloody George,"" a Marine company formed quickly to answer its nation's call to duty in 1950. This small band of men-a colorful cast of characters, including a Native American fighting to earn his honor as a warrior, a Southern boy from Tennessee at odds with a Northern blue-blood reporter-turned-Marine, and a pair of twins who exemplified to the group the true meaning of brotherhood-were mostly green troops who had been rushed through training to fill America's urgent need on the Korean front. They would find themselves at the tip of the spear in some of the Korean War's bloodiest battles.After storming ashore at Inchon and fighting house-to-house in Seoul, George Company, one of America's last units in reserve, found itself on the frozen tundra of the Chosin Reservoir facing elements of an entire division of Chinese troops. They didn't realize it then, but they were soon to become crucial to the battle-modern-day Spartans called upon to hold off ten times their number. Give Me Tomorrow is their unforgettable story of bravery and courage. Thoroughly researched and vividly told, Give Me Tomorrow is fitting testament to the heroic deeds of George Company. They will never again be forgotten.",0,0,0,0,0,0,0,0,1
The World of Winnie-the-Pooh,"In 1926, ""Winnie-the-Pooh,"" a collection of stories about a rather stout, somewhat confused bear, was published in England and America. The enchanting tales of Pooh, Piglet, Eeyore, Christopher Robin, and the others were an immediate success, and firmly established A.A. Milne, already an acclaimed dramatist, as a major author of children's books. ""Winnie-the-Pooh"" was followed in 1928 by a second collection, ""The House at Pooh Corner,"" which continued the adventures from the Hundred Acre Wood and introduced bouncy, lovable Tigger.This deluxe volume brings all of the Pooh stories together in one full-colour, large-format book. The texts are complete and unabridged, and all of the illustrations, each gloriously recoloured, are included. Here are the beloved stories of Pooh stuck in Rabbit's doorway, of gloomy Eeyore and his nearly forgotten birthday, of playing Poohsticks on the bridge, and so many more.",0,1,0,0,0,0,1,0,1
The Last Lecture,"A lot of professors give talks titled 'The Last Lecture'. Professors are asked to consider their demise and to ruminate on what matters most to them: What wisdom would we impart to the world if we knew it was our last chance? If we had to vanish tomorrow, what would we want as our legacy?When Randy Pausch, a computer science professor at Carnegie Mellon, was asked to give such a lecture, he didn't have to imagine it as his last, since he had recently been diagnosed with terminal cancer. But the lecture he gave, 'Really Achieving Your Childhood Dreams', wasn't about dying. It was about the importance of overcoming obstacles, of enabling the dreams of others, of seizing every moment (because time is all you have and you may find one day that you have less than you think). It was a summation of everything Randy had come to believe. It was about living.In this book, Randy Pausch has combined the humour, inspiration, and intelligence that made his lecture such a phenomenon and given it an indelible form. It is a book that will be shared for generations to come.",0,0,0,0,0,0,0,0,0
The Polar Express,"“Seeing is believing, but sometimes the most real things in the world are the things we can't see.”
Late one Christmas Eve after the town has gone to sleep, the boy boards the mysterious train that waits for him: the Polar Express bound for the North Pole. When he arrives, Santa offers the boy any gift he desires. The boy modestly asks for one bell from the harness of the reindeer. The gift is granted. On the way home the bell is lost. On Christmas morning, the boy finds the bell under the tree. The mother of the boy admires the bell, but laments that it is broken—for you see, only believers can hear the sound of the bell.In strange and moving shades of full color art, 
Chris Van Allsburg
 creates an otherwordly classic of the Christmas season. 'The Polar Express' evokes the same sense of mystery as his previous imaginative books 'The Garden of Abdul Gasazi' (1979), 'Jumanji' (1981), and 'The Wreck of the Zephyr' (1983).Awarded the prestigious Caldecott Medal in 1986, 'The Polar Express 'has sold more than 7 million copies, become a classic holiday movie, and been translated into stage productions that take place across the United States during the holiday season.",0,1,0,0,0,0,1,0,1
Escape from Freedom,"If humanity cannot live with the dangers and responsibilities inherent in freedom, it will probably turn to authoritarianism. This is the central idea of Escape from Freedom, a landmark work by one of the most distinguished thinkers of our time, and a book that is as timely now as when first published in 1941. Few books have thrown such light upon the forces that shape modern society or penetrated so deeply into the causes of authoritarian systems. If the rise of democracy set some people free, at the same time it gave birth to a society in which the individual feels alienated and dehumanized. Using the insights of psychoanalysis as probing agents, Fromm's work analyzes the illness of contemporary civilization as witnessed by its willingness to submit to totalitarian rule.",0,1,0,0,0,0,0,0,0
Intensity,"Past midnight, Chyna Shepard, twenty-six, gazes out a moonlit window, unable to sleep on her first night in the Napa Valley home of her best friend's family. Instinct proves reliable. A murderous sociopath, Edgler Foreman Vess, has entered the house, intent on killing everyone inside. A self-proclaimed ""homicidal adventurer,"" Vess lives only to satisfy all appetites as they arise, to immerse himself in sensation, to live without fear, remorse or limits, to live with ""intensity."" Chyna is trapped in his deadly orbit. Chyna is a survivor, toughened by a lifelong struggle for safety and self-respect. Now she will be tested as never before. At first, her sole aim is to get out alive - until, by chance, she learns the identity of Vess's next intended victim, a faraway innocent only she can save. Driven by a newly discovered thirst for meaning beyond mere self-preservation, Chyna musters every inner resource she has to save an endangered girl... as moment by moment, the terrifying threat of Edgler Foreman Vess intensifies.",1,0,0,1,0,0,0,0,1
Trasker #1Night Owl,"A shocking act of sabotage draws a retired spy into a deadly conspiracy in an explosive thriller by an Amazon Charts and Wall Street Journal bestselling author.After three decades in counterintelligence, Brad Trasker is retired, disillusioned, and dealing with a tragic loss. Spy games are behind him until he attends the launch of a next-generation aircraft. When the project of innovative aerospace CEO Kylie Connor explodes on the tarmac―nearly killing her in the process―Trasker is pulled back into the line of fire.The mystery of the sabotage quickly deepens. All Kylie’s data has been wiped from the server. One of her engineers has disappeared. A seed investor has died in a suspicious car accident. And a cold-blooded murder raises the stakes even higher.To discover who’s pulling the strings behind a dangerous conspiracy, Trasker needs to find a motive. Corporate espionage, revenge, or something he can’t yet see? Targeted by assassins, he finds himself overmatched when he realizes he can’t trust anyone―including Kylie. Too long out of a game he no longer understands, Trasker must adapt or die.",1,0,0,1,0,0,0,0,1
